Address,Price,Lot Size,Price Per SF,Rentable Building Area,Sale Type,No. Stories,Cap Rate,Year Built/Renovated,Sale Conditions,Parking Ratio,Property Type,Clear Ceiling Height,No. Drive In / Grade-Level Doors,Building Class,URL
"
10920 Hawthorne Blvd
Inglewood, CA
","$2,500,000",0.41 AC,$238,"10,502 SF",Investment,2,4.84%,1968/2016,1031 Exchange,"2.22/1,000 SF",Industrial,20 FT,2,C,https://www.loopnet.com/Listing/10920-Hawthorne-Blvd-Inglewood-CA/20984496/
"
1925 1st St
San Fernando, CA
","$1,499,000",0.12 AC,$442,"3,395 SF",Investment,1,N/A,1956/2018,N/A,"1.47/1,000 SF",Industrial,10 FT,N/A,C,https://www.loopnet.com/Listing/1925-1st-St-San-Fernando-CA/21771652/
"
Portfolio of 3 Commercial Assets
Multiple Locations
",N/A,N/A,N/A,N/A,Investment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.loopnet.com/Listing/Portfolio-of-3-Commercial-Assets/21500551/
"
16760 Schoenborn St
North Hills, CA
","$6,950,000",0.83 AC,$271,"25,608 SF",Owner User,2,N/A,1960/1985,N/A,"1.6/1,000 SF",Industrial,16 FT,3,C,https://www.loopnet.com/Listing/16760-Schoenborn-St-North-Hills-CA/21092677/
"
9605-9623 Canoga Ave
Chatsworth, CA
","$1,447,500",2.45 AC,N/A,N/A,Investment or Owner User,N/A,N/A,N/A,N/A,"2.31/1,000 SF",Industrial (Condo),N/A,N/A,C,https://www.loopnet.com/Listing/9605-9623-Canoga-Ave-Chatsworth-CA/21828458/
"
16214-16300 Lindbergh St
Van Nuys, CA
","$7,900,000",N/A,N/A,N/A,Investment or Owner User,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.loopnet.com/Listing/16214-16300-Lindbergh-St/21828258/
"
81 N Mentor Ave
Pasadena, CA
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.loopnet.com/Listing/81-N-Mentor-Ave-Pasadena-CA/21821470/
"
1725 Standard Ave
Glendale, CA
","$2,595,000",0.26 AC,$260,"10,000 SF",Investment or Owner User,1,N/A,N/A,Building in Shell Condition,"0.2/1,000 SF",Industrial,N/A,4,B,https://www.loopnet.com/Listing/1725-Standard-Ave-Glendale-CA/21810938/
"
600 N La Brea Ave
Inglewood, CA
","$4,300,000",0.49 AC,$384,"11,200 SF",Investment or Owner User,1,N/A,N/A,"1031 Exchange
Building in Shell Condition","0.89/1,000 SF",Industrial,N/A,N/A,C,https://www.loopnet.com/Listing/600-N-La-Brea-Ave-Inglewood-CA/21797702/
"
927 Flint Ave
Wilmington, CA
","$534,900",0.20 AC,$71,"7,500 SF",Owner User,1,N/A,N/A,N/A,N/A,Industrial,N/A,N/A,N/A,https://www.loopnet.com/Listing/927-Flint-Ave-Wilmington-CA/21796446/
"
5015 Pacific Blvd
Vernon, CA
","$8,900,000",1.21 AC,$302,"29,510 SF",Owner User,1,N/A,1946/2005,N/A,"1.02/1,000 SF",Industrial,13 FT - 24 FT,2,C,https://www.loopnet.com/Listing/5015-Pacific-Blvd-Vernon-CA/21777185/
"
957 E 108th St
Los Angeles, CA
","$2,100,000",0.40 AC,$142,"14,815 SF",Investment,1,6%,N/A,"1031 Exchange
Sale Leaseback",N/A,Industrial,14 FT - 16 FT,3,C,https://www.loopnet.com/Listing/957-E-108th-St-Los-Angeles-CA/21776839/
"
2628 E 54th St
Huntington Park, CA
","$2,200,000",0.30 AC,$229,"9,600 SF",Owner User,1,N/A,N/A,N/A,N/A,Industrial,13 FT - 15 FT 6 IN,1,C,https://www.loopnet.com/Listing/2628-E-54th-St-Huntington-Park-CA/21769337/
"
8701-8705 S Vermont Ave
Los Angeles, CA
","$2,350,000",0.24 AC,$311,"7,552 SF",Investment or Owner User,1,N/A,1930/1946,N/A,"1.46/1,000 SF",Flex,8 FT,N/A,C,https://www.loopnet.com/Listing/8701-8705-S-Vermont-Ave-Los-Angeles-CA/21742266/
"
15815 W Monte St
Bldg F
Sylmar, CA
","$1,425,000",1.74 AC,N/A,N/A,Owner User,N/A,N/A,N/A,N/A,N/A,Industrial (Condo),N/A,N/A,B,https://www.loopnet.com/Listing/15815-W-Monte-St-Sylmar-CA/21703574/
"
19433 E San Jose Ave
City Of Industry, CA
","$5,000,000",1.04 AC,$271,"18,432 SF",Owner User,1,N/A,N/A,N/A,"2.11/1,000 SF",Industrial,18 FT,2,C,https://www.loopnet.com/Listing/19433-E-San-Jose-Ave-City-Of-Industry-CA/21701528/
"
7900 Alabama Ave
Canoga Park, CA
","$5,500,000",0.48 AC,$322,"17,078 SF",Investment or Owner User,2,N/A,N/A,1031 Exchange,"0.06/1,000 SF",Industrial,17 FT,2,B,https://www.loopnet.com/Listing/7900-Alabama-Ave-Canoga-Park-CA/21694707/
"
2300 E Walnut St
Business Opportunity & Property For Sale
Pasadena, CA
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.loopnet.com/Listing/2300-E-Walnut-St-Pasadena-CA/21688172/
"
5911 Cherry Ave
Long Beach, CA
","$1,390,000",0.14 AC,$368,"3,775 SF",Investment or Owner User,1,N/A,N/A,N/A,N/A,Industrial,N/A,N/A,C,https://www.loopnet.com/Listing/5911-Cherry-Ave-Long-Beach-CA/21686368/
"
1350 E 17th St
Los Angeles, CA
","$6,000,000",0.63 AC,$287,"20,900 SF",Investment,1,3.72%,N/A,N/A,"0.57/1,000 SF",Industrial,20 FT - 24 FT,2,B,https://www.loopnet.com/Listing/1350-E-17th-St-Los-Angeles-CA/21684058/
